prop_handle,description,enum_count,enum_values
existing_adverse_event,"An indication as to whether any given adverse event occurred prior to the enrollment of a patient/subject into the clinical trial in question, and/or was ongoing at the time of trial enrollment.",2,Yes|No
ongoing_adverse_event,"An indication as to whether any given adverse event was ongoing as of the end of a treatment cycle, the end of the clinical trial itself, or the patient/subject being taken off study.",2,Yes|No
adverse_event_grade,"The grade of any given adverse event, reported as an enumerated value corresponding to one of the five distinct grades as defined by the Veterinary Comparative Oncology Group's Common Terminology Criteria for Adverse Events (VCOG-CTCAE).",6,1|2|3|4|5|Unknown
adverse_event_grade_description,"The grade of any given adverse event, reported in the form of a single descriptive term corresponding to one of the five enumerated grades as defined by the Veterinary Comparative Oncology Group's Common Terminology Criteria for Adverse Events (VCOG-CTCAE). Although numerical values for grade are standard terms for the reporting of adverse events, the narrative form of adverse event grades will be useful to users not already familiar with adverse event grading.",6,Mild|Moderate|Severe|Life-threatening|Death|Unknown
attribution_to_research,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by the clinical trial/research environment in general, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
attribution_to_ind,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by any investigational new drugs being administered as part of the clinical trial, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Not Applicable
attribution_to_disease,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by the disease for which the patient/subject is being treated, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
attribution_to_commercial,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by a commercially-available, FDA-approved therapeutic agent, used within the confines of the clinical trial either for its FDA-approved indication or in an off-label manner, but not as the investigational new drug or part of the investigational new therapy, versus the adverse event in question being unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Not Applicable
attribution_to_other,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by some other factor(s), as described by the other_attribution_description property, or is unrelated to such other factors.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
dose_limiting_toxicity,An indication as to whether any given adverse event observed during the clinical trial is indicative of the dose of the therapeutic agent under test being limiting in terms of its toxicity.,3,Yes|No|Not Applicable
unexpected_adverse_event,An indication as to whether any given adverse event observed during the clinical trial is completely unanticipated and therefore considered novel.,3,Yes|No|Undefined
breed,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",284,Affenpinscher|Afghan Hound|Airedale Terrier|Akita|Alaskan Klee Kai|Alaskan Malamute|American Bulldog|American English Coonhound|American Eskimo Dog|American Foxhound|American Hairless Terrier|American Leopard Hound|American Staffordshire Terrier|American Water Spaniel|Anatolian Shepherd Dog|Appenzeller Sennenhunde|Australian Cattle Dog|Australian Kelpie|Australian Shepherd|Australian Stumpy Tail Cattle Dog|Australian Terrier|Azawakh|Barbado da Terceira|Barbet|Basenji|Basset Fauve de Bretagne|Basset Hound|Bavarian Mountain Scent Hound|Beagle|Bearded Collie|Beauceron|Bedlington Terrier|Belgian Laekenois|Belgian Malinois|Belgian Sheepdog|Belgian Tervuren|Bergamasco Sheepdog|Berger Picard|Bernese Mountain Dog|Bichon Frise|Biewer Terrier|Black Russian Terrier|Black and Tan Coonhound|Bloodhound|Bluetick Coonhound|Boerboel|Bohemian Shepherd|Bolognese|Border Collie|Border Terrier|Borzoi|Boston Terrier|Bouvier des Flandres|Boxer|Boykin Spaniel|Bracco Italiano|Braque Francais Pyrenean|Braque du Bourbonnais|Briard|Brittany|Broholmer|Brussels Griffon|Bull Terrier|Bulldog|Bullmastiff|Cairn Terrier|Canaan Dog|Cane Corso|Cardigan Welsh Corgi|Carolina Dog|Catahoula Hound|Catahoula Leopard Dog|Caucasian Shepherd Dog|Cavalier King Charles Spaniel|Central Asian Shepherd Dog|Cesky Terrier|Chesapeake Bay Retriever|Chihuahua|Chinese Crested|Chinese Shar-Pei|Chinook|Chow Chow|Cirneco dell'Etna|Clumber Spaniel|Cocker Spaniel|Collie|Coton de Tulear|Croatian Sheepdog|Curly-Coated Retriever|Czechoslovakian Vlcak|Dachshund|Dalmatian|Dandie Dinmont Terrier|Danish-Swedish Farmdog|Deutscher Wachtelhund|Doberman Pinscher|Dogo Argentino|Dogue de Bordeaux|Drentsche Patrijshond|Drever|Dutch Shepherd|English Cocker Spaniel|English Foxhound|English Setter|English Springer Spaniel|English Toy Spaniel|Entlebucher Mountain Dog|Estrela Mountain Dog|Eurasier|Field Spaniel|Finnish Lapphund|Finnish Spitz|Flat-Coated Retriever|French Bulldog|French Spaniel|German Longhaired Pointer|German Pinscher|German Shepherd Dog|German Shorthaired Pointer|German Spitz|German Wirehaired Pointer|Giant Schnauzer|Glen of Imaal Terrier|Golden Retriever|Gordon Setter|Grand Basset Griffon Vendeen|Great Dane|Great Pyrenees|Greater Swiss Mountain Dog|Greyhound|Hamiltonstovare|Hanoverian Scenthound|Harrier|Havanese|Hokkaido|Hovawart|Ibizan Hound|Icelandic Sheepdog|Irish Red and White Setter|Irish Setter|Irish Terrier|Irish Water Spaniel|Irish Wolfhound|Italian Greyhound|Jagdterrier|Japanese Akitainu|Japanese Chin|Japanese Spitz|Japanese Terrier|Jindo|Kai Ken|Karelian Bear Dog|Keeshond|Kerry Blue Terrier|Kishu Ken|Komondor|Kromfohrlander|Kuvasz|Labrador Retriever|Lagotto Romagnolo|Lakeland Terrier|Lancashire Heeler|Lapponian Herder|Leonberger|Lhasa Apso|Lowchen|Maltese|Manchester Terrier|Mastiff|Miniature American Shepherd|Miniature Bull Terrier|Miniature Dachshund|Miniature Pinscher|Miniature Schnauzer|Mixed Breed|Mountain Cur|Mudi|Neapolitan Mastiff|Nederlandse Kooikerhondje|Newfoundland|Norfolk Terrier|Norrbottenspets|Norwegian Buhund|Norwegian Elkhound|Norwegian Lundehund|Norwich Terrier|Nova Scotia Duck Tolling Retriever|Old English Sheepdog|Other|Otterhound|Papillon|Parson Russell Terrier|Pekingese|Pembroke Welsh Corgi|Perro de Presa Canario|Peruvian Inca Orchid|Petit Basset Griffon Vendeen|Pharaoh Hound|Plott Hound|Pointer|Polish Lowland Sheepdog|Pomeranian|Poodle|Porcelaine|Portuguese Podengo|Portuguese Podengo Pequeno|Portuguese Pointer|Portuguese Sheepdog|Portuguese Water Dog|Pudelpointer|Pug|Puli|Pumi|Pyrenean Mastiff|Pyrenean Shepherd|Rafeiro do Alentejo|Rat Terrier|Redbone Coonhound|Rhodesian Ridgeback|Romanian Mioritic Shepherd Dog|Rottweiler|Russell Terrier|Russian Toy|Russian Tsvetnaya Bolonka|Saint Bernard|Saluki|Samoyed|Schapendoes|Schipperke|Scottish Deerhound|Scottish Terrier|Sealyham Terrier|Segugio Italiano|Shetland Sheepdog|Shiba Inu|Shih Tzu|Shikoku|Siberian Husky|Silky Terrier|Skye Terrier|Sloughi|Slovakian Wirehaired Pointer|Slovensky Cuvac|Slovensky Kopov|Small Munsterlander Pointer|Smooth Fox Terrier|Soft Coated Wheaten Terrier|Spanish Mastiff|Spanish Water Dog|Spinone Italiano|Stabyhoun|Staffordshire Bull Terrier|Standard Schnauzer|Sussex Spaniel|Swedish Lapphund|Swedish Vallhund|Taiwan Dog|Teddy Roosevelt Terrier|Thai Ridgeback|Tibetan Mastiff|Tibetan Spaniel|Tibetan Terrier|Tornjak|Tosa|Toy Fox Terrier|Toy Poodle|Transylvanian Hound|Treeing Tennessee Brindle Coonhound|Treeing Walker Coonhound|Unknown|Vizsla|Weimaraner|Welsh Springer Spaniel|Welsh Terrier|West Highland White Terrier|Wetterhoun|Whippet|Wire Fox Terrier|Wirehaired Pointing Griffon|Wirehaired Vizsla|Working Kelpie|Xoloitzcuintli|Yakutian Laika|Yorkshire Terrier
sex,The biological sex of the patient/subject/donor.,3,Male|Female|Unknown
neutered_indicator,Indicator as to whether the patient/subject/donor has been either spayed (female subjects) or neutered (male subjects).,3,Yes|No|Unknown
disease_term,The primary disease condition with which the patient/subject/donor was diagnosed.,23,B Cell Lymphoma|Bladder Cancer|Diffuse Large B Cell Lymphoma|Fibrolipoma|Glioma|Healthy Control|Hemangiosarcoma|Histiocytic Sarcoma|Lipoma|Lymphoma|Mammary Cancer|Mast Cell Tumor|Melanoma|Osteosarcoma|Pulmonary Neoplasms|Soft Tissue Sarcoma|Splenic Hematoma|Splenic Hyperplasia|T Cell Leukemia|T Cell Lymphoma|Thyroid Cancer|Unknown|Urothelial Carcinoma
