prop_handle,enum_value,term_value,http_status,passed,notes
breed,Central Asian Shepherd Dog,Central Asian Shepherd Dog,200,True,
breed,Cesky Terrier,Cesky Terrier,200,True,
breed,Chesapeake Bay Retriever,Chesapeake Bay Retriever,200,True,
breed,Chihuahua,Chihuahua,200,True,
breed,Chinese Crested,Chinese Crested,200,True,
breed,Chinese Shar-Pei,Chinese Shar-Pei,200,True,
breed,Chinook,Chinook,200,True,
breed,Chow Chow,Chow Chow,200,True,
breed,Cirneco dell'Etna,Cirneco dell'Etna,200,True,
breed,Clumber Spaniel,Clumber Spaniel,200,True,
breed,Cocker Spaniel,Cocker Spaniel,200,True,
breed,Collie,Collie,200,True,
breed,Coton de Tulear,Coton de Tulear,200,True,
breed,Croatian Sheepdog,Croatian Sheepdog,200,True,
breed,Curly-Coated Retriever,Curly-Coated Retriever,200,True,
breed,Czechoslovakian Vlcak,Czechoslovakian Vlcak,200,True,
breed,Dachshund,Dachshund,200,True,
breed,Dalmatian,Dalmatian,200,True,
breed,Dandie Dinmont Terrier,Dandie Dinmont Terrier,200,True,
breed,Danish-Swedish Farmdog,Danish-Swedish Farmdog,200,True,
breed,Deutscher Wachtelhund,Deutscher Wachtelhund,200,True,
breed,Doberman Pinscher,Doberman Pinscher,200,True,
breed,Dogo Argentino,Dogo Argentino,200,True,
breed,Dogue de Bordeaux,Dogue de Bordeaux,200,True,
breed,Drentsche Patrijshond,Drentsche Patrijshond,200,True,
breed,Drever,Drever,200,True,
breed,Dutch Shepherd,Dutch Shepherd,200,True,
breed,English Cocker Spaniel,English Cocker Spaniel,200,True,
breed,English Foxhound,English Foxhound,200,True,
breed,English Setter,English Setter,200,True,
breed,English Springer Spaniel,English Springer Spaniel,200,True,
breed,English Toy Spaniel,English Toy Spaniel,200,True,
breed,Entlebucher Mountain Dog,Entlebucher Mountain Dog,200,True,
breed,Estrela Mountain Dog,Estrela Mountain Dog,200,True,
breed,Eurasier,Eurasier,200,True,
breed,Field Spaniel,Field Spaniel,200,True,
breed,Finnish Lapphund,Finnish Lapphund,200,True,
breed,Finnish Spitz,Finnish Spitz,200,True,
breed,Flat-Coated Retriever,Flat-Coated Retriever,200,True,
breed,French Bulldog,French Bulldog,200,True,
breed,French Spaniel,French Spaniel,200,True,
breed,German Longhaired Pointer,German Longhaired Pointer,200,True,
breed,German Pinscher,German Pinscher,200,True,
breed,German Shepherd Dog,German Shepherd Dog,200,True,
breed,German Shorthaired Pointer,German Shorthaired Pointer,200,True,
breed,German Spitz,German Spitz,200,True,
breed,German Wirehaired Pointer,German Wirehaired Pointer,200,True,
breed,Giant Schnauzer,Giant Schnauzer,200,True,
breed,Glen of Imaal Terrier,Glen of Imaal Terrier,200,True,
breed,Golden Retriever,Golden Retriever,200,True,
breed,Gordon Setter,Gordon Setter,200,True,
breed,Grand Basset Griffon Vendeen,Grand Basset Griffon Vendeen,200,True,
breed,Great Dane,Great Dane,200,True,
breed,Great Pyrenees,Great Pyrenees,200,True,
breed,Greater Swiss Mountain Dog,Greater Swiss Mountain Dog,200,True,
breed,Greyhound,Greyhound,200,True,
breed,Hamiltonstovare,Hamiltonstovare,200,True,
breed,Hanoverian Scenthound,Hanoverian Scenthound,200,True,
breed,Harrier,Harrier,200,True,
breed,Havanese,Havanese,200,True,
breed,Hokkaido,Hokkaido,200,True,
breed,Hovawart,Hovawart,200,True,
breed,Ibizan Hound,Ibizan Hound,200,True,
breed,Icelandic Sheepdog,Icelandic Sheepdog,200,True,
breed,Irish Red and White Setter,Irish Red and White Setter,200,True,
breed,Irish Setter,Irish Setter,200,True,
breed,Irish Terrier,Irish Terrier,200,True,
breed,Irish Water Spaniel,Irish Water Spaniel,200,True,
breed,Irish Wolfhound,Irish Wolfhound,200,True,
breed,Italian Greyhound,Italian Greyhound,200,True,
breed,Jagdterrier,Jagdterrier,200,True,
breed,Japanese Akitainu,Japanese Akitainu,200,True,
breed,Japanese Chin,Japanese Chin,200,True,
breed,Japanese Spitz,Japanese Spitz,200,True,
breed,Japanese Terrier,Japanese Terrier,200,True,
breed,Jindo,Jindo,200,True,
breed,Kai Ken,Kai Ken,200,True,
breed,Karelian Bear Dog,Karelian Bear Dog,200,True,
breed,Keeshond,Keeshond,200,True,
breed,Kerry Blue Terrier,Kerry Blue Terrier,200,True,
breed,Kishu Ken,Kishu Ken,200,True,
breed,Komondor,Komondor,200,True,
breed,Kromfohrlander,Kromfohrlander,200,True,
breed,Kuvasz,Kuvasz,200,True,
breed,Labrador Retriever,Labrador Retriever,200,True,
breed,Lagotto Romagnolo,Lagotto Romagnolo,200,True,
breed,Lakeland Terrier,Lakeland Terrier,200,True,
breed,Lancashire Heeler,Lancashire Heeler,200,True,
breed,Lapponian Herder,Lapponian Herder,200,True,
breed,Leonberger,Leonberger,200,True,
breed,Lhasa Apso,Lhasa Apso,200,True,
breed,Lowchen,Lowchen,200,True,
breed,Maltese,Maltese,200,True,
breed,Manchester Terrier,Manchester Terrier,200,True,
breed,Mastiff,Mastiff,200,True,
breed,Miniature American Shepherd,Miniature American Shepherd,200,True,
breed,Miniature Bull Terrier,Miniature Bull Terrier,200,True,
breed,Miniature Dachshund,Miniature Dachshund,200,True,
breed,Miniature Pinscher,Miniature Pinscher,200,True,
breed,Miniature Schnauzer,Miniature Schnauzer,200,True,
breed,Mixed Breed,Mixed Breed,200,True,
breed,Mountain Cur,Mountain Cur,200,True,
breed,Mudi,Mudi,200,True,
breed,Neapolitan Mastiff,Neapolitan Mastiff,200,True,
breed,Nederlandse Kooikerhondje,Nederlandse Kooikerhondje,200,True,
breed,Newfoundland,Newfoundland,200,True,
breed,Norfolk Terrier,Norfolk Terrier,200,True,
breed,Norrbottenspets,Norrbottenspets,200,True,
breed,Norwegian Buhund,Norwegian Buhund,200,True,
breed,Norwegian Elkhound,Norwegian Elkhound,200,True,
breed,Norwegian Lundehund,Norwegian Lundehund,200,True,
breed,Norwich Terrier,Norwich Terrier,200,True,
breed,Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever,200,True,
breed,Old English Sheepdog,Old English Sheepdog,200,True,
breed,Other,Other,200,True,
breed,Otterhound,Otterhound,200,True,
breed,Papillon,Papillon,200,True,
breed,Parson Russell Terrier,Parson Russell Terrier,200,True,
breed,Pekingese,Pekingese,200,True,
breed,Pembroke Welsh Corgi,Pembroke Welsh Corgi,200,True,
breed,Perro de Presa Canario,Perro de Presa Canario,200,True,
breed,Peruvian Inca Orchid,Peruvian Inca Orchid,200,True,
breed,Petit Basset Griffon Vendeen,Petit Basset Griffon Vendeen,200,True,
breed,Pharaoh Hound,Pharaoh Hound,200,True,
breed,Plott Hound,Plott Hound,200,True,
breed,Pointer,Pointer,200,True,
breed,Polish Lowland Sheepdog,Polish Lowland Sheepdog,200,True,
breed,Pomeranian,Pomeranian,200,True,
breed,Poodle,Poodle,200,True,
breed,Porcelaine,Porcelaine,200,True,
breed,Portuguese Podengo,Portuguese Podengo,200,True,
breed,Portuguese Podengo Pequeno,Portuguese Podengo Pequeno,200,True,
breed,Portuguese Pointer,Portuguese Pointer,200,True,
breed,Portuguese Sheepdog,Portuguese Sheepdog,200,True,
breed,Portuguese Water Dog,Portuguese Water Dog,200,True,
breed,Pudelpointer,Pudelpointer,200,True,
breed,Pug,Pug,200,True,
breed,Puli,Puli,200,True,
breed,Pumi,Pumi,200,True,
