prop_handle,enum_value,description,model_handle,version_string,node_handle
organ_or_tissue,Cloacogenic zone,Site where images are associated,,,
organ_or_tissue,Clitoris,Site where images are associated,,,
organ_or_tissue,Ciliary body,Site where images are associated,,,
organ_or_tissue,Choroid,Site where images are associated,,,
organ_or_tissue,Cheek mucosa,Site where images are associated,,,
organ_or_tissue,Cervix uteri,Site where images are associated,,,
organ_or_tissue,Cervical esophagus,Site where images are associated,,,
organ_or_tissue,Cerebrum,Site where images are associated,,,
organ_or_tissue,Cerebral meninges,Site where images are associated,,,
organ_or_tissue,"Cerebellum, NOS",Site where images are associated,,,
organ_or_tissue,Cecum,Site where images are associated,,,
organ_or_tissue,"Abdomen, NOS",Site where images are associated,,,
organ_or_tissue,Acoustic nerve,Site where images are associated,,,
organ_or_tissue,"Adrenal gland, NOS",Site where images are associated,,,
organ_or_tissue,"Anus, NOS",Site where images are associated,,,
organ_or_tissue,"Autonomic nervous system, NOS",Site where images are associated,,,
organ_or_tissue,"Dorsal surface of tongue, NOS",Site where images are associated,,,
organ_or_tissue,Dome of bladder,Site where images are associated,,,
organ_or_tissue,Descending colon,Site where images are associated,,,
organ_or_tissue,Descended testis,Site where images are associated,,,
organ_or_tissue,Craniopharyngeal duct,Site where images are associated,,,
organ_or_tissue,"Cranial nerve, NOS",Site where images are associated,,,
organ_or_tissue,Cortex of adrenal gland,Site where images are associated,,,
organ_or_tissue,Corpus uteri,Site where images are associated,,,
organ_or_tissue,"Cornea, NOS",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues, NOS",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of upper limb and shoulder",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of trunk, NOS",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of thorax",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of pelvis",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of lower limb and hip",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of head, face, and neck",Site where images are associated,,,
organ_or_tissue,"Connective, subcutaneous and other soft tissues of abdomen",Site where images are associated,,,
organ_or_tissue,Bones of skull and face and associated joints,Site where images are associated,,,
organ_or_tissue,Cauda equina,Site where images are associated,,,
organ_or_tissue,Carotid body,Site where images are associated,,,
organ_or_tissue,"Cardia, NOS",Site where images are associated,,,
organ_or_tissue,Broad ligament,Site where images are associated,,,
organ_or_tissue,"Breast, NOS",Site where images are associated,,,
organ_or_tissue,Branchial cleft,Site where images are associated,,,
organ_or_tissue,"Brain, NOS",Site where images are associated,,,
organ_or_tissue,Brain stem,Site where images are associated,,,
organ_or_tissue,Border of tongue,Site where images are associated,,,
organ_or_tissue,Ethmoid sinus,Site where images are associated,,,
organ_or_tissue,"Esophagus, NOS",Site where images are associated,,,
organ_or_tissue,Epididymis,Site where images are associated,,,
organ_or_tissue,Endometrium,Site where images are associated,,,
organ_or_tissue,"Endocrine gland, NOS",Site where images are associated,,,
organ_or_tissue,Endocervix,Site where images are associated,,,
organ_or_tissue,Duodenum,Site where images are associated,,,
organ_or_tissue,Eyelid,Site where images are associated,,,
organ_or_tissue,"Eye, NOS",Site where images are associated,,,
organ_or_tissue,Extrahepatic bile duct,Site where images are associated,,,
organ_or_tissue,External upper lip,Site where images are associated,,,
organ_or_tissue,External lower lip,Site where images are associated,,,
organ_or_tissue,"External lip, NOS",Site where images are associated,,,
organ_or_tissue,External ear,Site where images are associated,,,
organ_or_tissue,Exocervix,Site where images are associated,,,
organ_or_tissue,Fundus uteri,Site where images are associated,,,
organ_or_tissue,Fundus of stomach,Site where images are associated,,,
organ_or_tissue,Frontal sinus,Site where images are associated,,,
organ_or_tissue,Frontal lobe,Site where images are associated,,,
organ_or_tissue,"Floor of mouth, NOS",Site where images are associated,,,
organ_or_tissue,Fallopian tube,Site where images are associated,,,
organ_or_tissue,"Lymph node, NOS",Site where images are associated,,,
organ_or_tissue,"Lung, NOS",Site where images are associated,,,
organ_or_tissue,Lower-outer quadrant of breast,Site where images are associated,,,
organ_or_tissue,Lower-inner quadrant of breast,Site where images are associated,,,
organ_or_tissue,Lower third of esophagus,Site where images are associated,,,
organ_or_tissue,"Lower lobe, lung",Site where images are associated,,,
organ_or_tissue,"Lower limb, NOS",Site where images are associated,,,
organ_or_tissue,Lower gum,Site where images are associated,,,
organ_or_tissue,"Long bones of upper limb, scapula and associated joints",Site where images are associated,,,
organ_or_tissue,Long bones of lower limb and associated joints,Site where images are associated,,,
organ_or_tissue,Liver,Site where images are associated,,,
organ_or_tissue,"Lip, NOS",Site where images are associated,,,
organ_or_tissue,Lingual tonsil,Site where images are associated,,,
organ_or_tissue,"Lesser curvature of stomach, NOS",Site where images are associated,,,
organ_or_tissue,Lateral wall of oropharynx,Site where images are associated,,,
organ_or_tissue,Lateral wall of nasopharynx,Site where images are associated,,,
organ_or_tissue,Lateral wall of bladder,Site where images are associated,,,
organ_or_tissue,Lateral floor of mouth,Site where images are associated,,,
organ_or_tissue,"Larynx, NOS",Site where images are associated,,,
organ_or_tissue,Laryngeal cartilage,Site where images are associated,,,
organ_or_tissue,Axillary tail of breast,Site where images are associated,,,
organ_or_tissue,Gallbladder,Site where images are associated,,,
organ_or_tissue,Gastric antrum,Site where images are associated,,,
organ_or_tissue,Isthmus uteri,Site where images are associated,,,
organ_or_tissue,Islets of Langerhans,Site where images are associated,,,
organ_or_tissue,Intrathoracic lymph nodes,Site where images are associated,,,
organ_or_tissue,Intrahepatic bile duct,Site where images are associated,,,
organ_or_tissue,Intra-abdominal lymph nodes,Site where images are associated,,,
organ_or_tissue,"Intestinal tract, NOS",Site where images are associated,,,
organ_or_tissue,Ill-defined sites within respiratory system,Site where images are associated,,,
organ_or_tissue,Ileum,Site where images are associated,,,
organ_or_tissue,"Hypopharynx, NOS",Site where images are associated,,,
organ_or_tissue,Hypopharyngeal aspect of aryepiglottic fold,Site where images are associated,,,
organ_or_tissue,Hepatic flexure of colon,Site where images are associated,,,
organ_or_tissue,"Hematopoietic system, NOS",Site where images are associated,,,
organ_or_tissue,Heart,Site where images are associated,,,
organ_or_tissue,"Head, face or neck, NOS",Site where images are associated,,,
organ_or_tissue,Head of pancreas,Site where images are associated,,,
organ_or_tissue,Hard palate,Site where images are associated,,,
organ_or_tissue,Myometrium,Site where images are associated,,,
organ_or_tissue,Mucosa of upper lip,Site where images are associated,,,
organ_or_tissue,Mucosa of lower lip,Site where images are associated,,,
organ_or_tissue,"Mucosa of lip, NOS",Site where images are associated,,,
organ_or_tissue,"Mouth, NOS",Site where images are associated,,,
organ_or_tissue,Middle third of esophagus,Site where images are associated,,,
organ_or_tissue,"Middle lobe, lung",Site where images are associated,,,
organ_or_tissue,Middle ear,Site where images are associated,,,
organ_or_tissue,"Meninges, NOS",Site where images are associated,,,
organ_or_tissue,Medulla of adrenal gland,Site where images are associated,,,
organ_or_tissue,"Mediastinum, NOS",Site where images are associated,,,
organ_or_tissue,Meckel diverticulum,Site where images are associated,,,
organ_or_tissue,Maxillary sinus,Site where images are associated,,,
organ_or_tissue,Mandible,Site where images are associated,,,
organ_or_tissue,"Major salivary gland, NOS",Site where images are associated,,,
organ_or_tissue,Main bronchus,Site where images are associated,,,
organ_or_tissue,"Oropharynx, NOS",Site where images are associated,,,
organ_or_tissue,"Orbit, NOS",Site where images are associated,,,
organ_or_tissue,Optic nerve,Site where images are associated,,,
organ_or_tissue,Olfactory nerve,Site where images are associated,,,
organ_or_tissue,Occipital lobe,Site where images are associated,,,
organ_or_tissue,Nipple,Site where images are associated,,,
organ_or_tissue,"Nervous system, NOS",Site where images are associated,,,
organ_or_tissue,Nasal cavity,Site where images are associated,,,
organ_or_tissue,"Penis, NOS",Site where images are associated,,,
organ_or_tissue,"Pelvis, NOS",Site where images are associated,,,
organ_or_tissue,Pelvic lymph nodes,Site where images are associated,,,
organ_or_tissue,"Pelvic bones, sacrum, coccyx and associated joints",Site where images are associated,,,
organ_or_tissue,Parotid gland,Site where images are associated,,,
organ_or_tissue,Parietal lobe,Site where images are associated,,,
organ_or_tissue,Paraurethral gland,Site where images are associated,,,
organ_or_tissue,Parathyroid gland,Site where images are associated,,,
organ_or_tissue,Parametrium,Site where images are associated,,,
organ_or_tissue,Pancreatic duct,Site where images are associated,,,
organ_or_tissue,"Pancreas, NOS",Site where images are associated,,,
organ_or_tissue,"Palate, NOS",Site where images are associated,,,
organ_or_tissue,Ovary,Site where images are associated,,,
organ_or_tissue,Lacrimal gland,Site where images are associated,,,
organ_or_tissue,Labium minus,Site where images are associated,,,
organ_or_tissue,Labium majus,Site where images are associated,,,
organ_or_tissue,"Kidney, NOS",Site where images are associated,,,
organ_or_tissue,Jejunum,Site where images are associated,,,
