prop_handle,enum_value,http_status,passed,notes
organ_or_tissue,"Brain, NOS",200,True,
organ_or_tissue,Brain stem,200,True,
organ_or_tissue,Border of tongue,200,True,
organ_or_tissue,Ethmoid sinus,200,True,
organ_or_tissue,"Esophagus, NOS",200,True,
organ_or_tissue,Epididymis,200,True,
organ_or_tissue,Endometrium,200,True,
organ_or_tissue,"Endocrine gland, NOS",200,True,
organ_or_tissue,Endocervix,200,True,
organ_or_tissue,Duodenum,200,True,
organ_or_tissue,Eyelid,200,True,
organ_or_tissue,"Eye, NOS",200,True,
organ_or_tissue,Extrahepatic bile duct,200,True,
organ_or_tissue,External upper lip,200,True,
organ_or_tissue,External lower lip,200,True,
organ_or_tissue,"External lip, NOS",200,True,
organ_or_tissue,External ear,200,True,
organ_or_tissue,Exocervix,200,True,
organ_or_tissue,Fundus uteri,200,True,
organ_or_tissue,Fundus of stomach,200,True,
organ_or_tissue,Frontal sinus,200,True,
organ_or_tissue,Frontal lobe,200,True,
organ_or_tissue,"Floor of mouth, NOS",200,True,
organ_or_tissue,Fallopian tube,200,True,
organ_or_tissue,"Lymph node, NOS",200,True,
organ_or_tissue,"Lung, NOS",200,True,
organ_or_tissue,Lower-outer quadrant of breast,200,True,
organ_or_tissue,Lower-inner quadrant of breast,200,True,
organ_or_tissue,Lower third of esophagus,200,True,
organ_or_tissue,"Lower lobe, lung",200,True,
organ_or_tissue,"Lower limb, NOS",200,True,
organ_or_tissue,Lower gum,200,True,
organ_or_tissue,"Long bones of upper limb, scapula and associated joints",200,True,
organ_or_tissue,Long bones of lower limb and associated joints,200,True,
organ_or_tissue,Liver,200,True,
organ_or_tissue,"Lip, NOS",200,True,
organ_or_tissue,Lingual tonsil,200,True,
organ_or_tissue,"Lesser curvature of stomach, NOS",200,True,
organ_or_tissue,Lateral wall of oropharynx,200,True,
organ_or_tissue,Lateral wall of nasopharynx,200,True,
organ_or_tissue,Lateral wall of bladder,200,True,
organ_or_tissue,Lateral floor of mouth,200,True,
organ_or_tissue,"Larynx, NOS",200,True,
organ_or_tissue,Laryngeal cartilage,200,True,
organ_or_tissue,Axillary tail of breast,200,True,
organ_or_tissue,Gallbladder,200,True,
organ_or_tissue,Gastric antrum,200,True,
organ_or_tissue,Isthmus uteri,200,True,
organ_or_tissue,Islets of Langerhans,200,True,
organ_or_tissue,Intrathoracic lymph nodes,200,True,
organ_or_tissue,Intrahepatic bile duct,200,True,
organ_or_tissue,Intra-abdominal lymph nodes,200,True,
organ_or_tissue,"Intestinal tract, NOS",200,True,
organ_or_tissue,Ill-defined sites within respiratory system,200,True,
organ_or_tissue,Ileum,200,True,
organ_or_tissue,"Hypopharynx, NOS",200,True,
organ_or_tissue,Hypopharyngeal aspect of aryepiglottic fold,200,True,
organ_or_tissue,Hepatic flexure of colon,200,True,
organ_or_tissue,"Hematopoietic system, NOS",200,True,
organ_or_tissue,Heart,200,True,
organ_or_tissue,"Head, face or neck, NOS",200,True,
organ_or_tissue,Head of pancreas,200,True,
organ_or_tissue,Hard palate,200,True,
organ_or_tissue,Myometrium,200,True,
organ_or_tissue,Mucosa of upper lip,200,True,
organ_or_tissue,Mucosa of lower lip,200,True,
organ_or_tissue,"Mucosa of lip, NOS",200,True,
organ_or_tissue,"Mouth, NOS",200,True,
organ_or_tissue,Middle third of esophagus,200,True,
organ_or_tissue,"Middle lobe, lung",200,True,
organ_or_tissue,Middle ear,200,True,
organ_or_tissue,"Meninges, NOS",200,True,
organ_or_tissue,Medulla of adrenal gland,200,True,
organ_or_tissue,"Mediastinum, NOS",200,True,
organ_or_tissue,Meckel diverticulum,200,True,
organ_or_tissue,Maxillary sinus,200,True,
organ_or_tissue,Mandible,200,True,
organ_or_tissue,"Major salivary gland, NOS",200,True,
organ_or_tissue,Main bronchus,200,True,
organ_or_tissue,"Oropharynx, NOS",200,True,
organ_or_tissue,"Orbit, NOS",200,True,
organ_or_tissue,Optic nerve,200,True,
organ_or_tissue,Olfactory nerve,200,True,
organ_or_tissue,Occipital lobe,200,True,
organ_or_tissue,Nipple,200,True,
organ_or_tissue,"Nervous system, NOS",200,True,
organ_or_tissue,Nasal cavity,200,True,
organ_or_tissue,"Penis, NOS",200,True,
organ_or_tissue,"Pelvis, NOS",200,True,
organ_or_tissue,Pelvic lymph nodes,200,True,
organ_or_tissue,"Pelvic bones, sacrum, coccyx and associated joints",200,True,
organ_or_tissue,Parotid gland,200,True,
organ_or_tissue,Parietal lobe,200,True,
organ_or_tissue,Paraurethral gland,200,True,
organ_or_tissue,Parathyroid gland,200,True,
organ_or_tissue,Parametrium,200,True,
organ_or_tissue,Pancreatic duct,200,True,
organ_or_tissue,"Pancreas, NOS",200,True,
organ_or_tissue,"Palate, NOS",200,True,
organ_or_tissue,Ovary,200,True,
organ_or_tissue,Lacrimal gland,200,True,
organ_or_tissue,Labium minus,200,True,
organ_or_tissue,Labium majus,200,True,
organ_or_tissue,"Kidney, NOS",200,True,
organ_or_tissue,Jejunum,200,True,
organ_or_tissue,Lymph nodes of multiple regions,200,True,
organ_or_tissue,Lymph nodes of inguinal region or leg,200,True,
organ_or_tissue,Lymph nodes of axilla or arm,200,True,
organ_or_tissue,Other specified parts of pancreas,200,True,
organ_or_tissue,Other specified parts of male genital organs,200,True,
organ_or_tissue,Other specified parts of female genital organs,200,True,
organ_or_tissue,Other ill-defined sites,200,True,
organ_or_tissue,Laryngeal commissure,200,True,
organ_or_tissue,Overlapping lesions of oropharynx,200,True,
organ_or_tissue,Overlapping lesion of vulva,200,True,
organ_or_tissue,Overlapping lesion of urinary organs,200,True,
organ_or_tissue,Overlapping lesion of tonsil,200,True,
organ_or_tissue,Overlapping lesion of tongue,200,True,
organ_or_tissue,Overlapping lesion of stomach,200,True,
organ_or_tissue,Overlapping lesion of small intestine,200,True,
organ_or_tissue,Overlapping lesion of skin,200,True,
organ_or_tissue,Overlapping lesion of retroperitoneum and peritoneum,200,True,
organ_or_tissue,Overlapping lesion of respiratory system and intrathoracic organs,200,True,
organ_or_tissue,Overlapping lesion of penis,200,True,
organ_or_tissue,Overlapping lesion of pancreas,200,True,
organ_or_tissue,Overlapping lesion of palate,200,True,
organ_or_tissue,Overlapping lesion of other and unspecified parts of mouth,200,True,
organ_or_tissue,"Upper respiratory tract, NOS",200,True,
organ_or_tissue,"Upper lobe, lung",200,True,
organ_or_tissue,"Upper limb, NOS",200,True,
organ_or_tissue,Upper Gum,200,True,
organ_or_tissue,Unknown primary site,200,True,
organ_or_tissue,Undescended testis,200,True,
organ_or_tissue,Trigone of bladder,200,True,
organ_or_tissue,Transverse colon,200,True,
organ_or_tissue,Trachea,200,True,
organ_or_tissue,Tonsillar pillar,200,True,
organ_or_tissue,Tonsillar fossa,200,True,
organ_or_tissue,"Tonsil, NOS",200,True,
organ_or_tissue,"Tongue, NOS",200,True,
organ_or_tissue,Thyroid gland,200,True,
organ_or_tissue,Thymus,200,True,
organ_or_tissue,"Thorax, NOS",200,True,
organ_or_tissue,Thoracic esophagus,200,True,
organ_or_tissue,"Testis, NOS",200,True,
organ_or_tissue,Temporal lobe,200,True,
organ_or_tissue,Tail of pancreas,200,True,
organ_or_tissue,Supraglottis,200,True,
organ_or_tissue,Superior wall of nasopharynx,200,True,
organ_or_tissue,Submandibular gland,200,True,
organ_or_tissue,"Lymph nodes of head, face and neck",200,True,
organ_or_tissue,"Bladder, NOS",200,True,
organ_or_tissue,Central portion of breast,200,True,
organ_or_tissue,"Female genital tract, NOS",200,True,
organ_or_tissue,"Male genital organs, NOS",200,True,
organ_or_tissue,"Nasopharynx, NOS",200,True,
organ_or_tissue,Placenta,200,True,
organ_or_tissue,Pituitary gland,200,True,
organ_or_tissue,Pineal gland,200,True,
organ_or_tissue,"Pharynx, NOS",200,True,
organ_or_tissue,"Peritoneum, NOS",200,True,
organ_or_tissue,"Bone of limb, NOS",200,True,
organ_or_tissue,"Ventricle, NOS",200,True,
