prop_handle,enum_value,term_value,http_status,passed,notes
laboratory_test_method,Other,,200,True,
laboratory_test_method,RNA Sequencing,,200,True,
laboratory_test_method,RT-PCR,,200,True,
laboratory_test_method,"Sequencing, NOS",,200,True,
laboratory_test_method,Southern Blotting,,200,True,
laboratory_test_method,Targeted Sequencing,,200,True,
laboratory_test_method,WGS,,200,True,
laboratory_test_method,WXS,,200,True,
laboratory_test_method,Unknown,,200,True,
laboratory_test_method,Not Reported,,200,True,
laboratory_test_method,Not Applicable,,200,True,
laboratory_test_name,% lymphocyte of CD45 cells,,200,True,
laboratory_test_name,"11-Deoxycorticosterone, Serum",,200,True,
laboratory_test_name,"11-Deoxycortisol, Serum",,200,True,
laboratory_test_name,"17-OH-Pregnenolone, Serum",,200,True,
laboratory_test_name,"17-OH-Progesterone, Serum",,200,True,
laboratory_test_name,"20(S)-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"21 Gene Signature (Oncotype DX), #, Tissue",,200,True,
laboratory_test_name,"21 Gene Signature (Oncotype DX), Tissue",,200,True,
laboratory_test_name,"22(R)-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"22(S)-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"24(S),25-epoxycholesterol, Serum",,200,True,
laboratory_test_name,"24R-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"24S-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"25-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"27-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"3beta-hydroxy-5-cholestenoic acid, Serum",,200,True,
laboratory_test_name,"4 Hydroxytestosterone (4-OH), Serum/Plasma",,200,True,
laboratory_test_name,"4 Hydroxytestosterone (4-OH), Tissue",,200,True,
laboratory_test_name,"4-OHT E Isomer, Plasma",,200,True,
laboratory_test_name,"4-OHT E Isomer, Tissue",,200,True,
laboratory_test_name,"4-OHT Z Isomer, Plasma",,200,True,
laboratory_test_name,"4-OHT Z Isomer, Tissue",,200,True,
laboratory_test_name,"4beta-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"5 Protein Signature (Ova1), Serum",,200,True,
laboratory_test_name,"5'-Nucleotidase, Serum",,200,True,
laboratory_test_name,"5-Hydroxyindoleacetic Acid (5-HIAA), Urine",,200,True,
laboratory_test_name,"7-ketocholesterol, Serum",,200,True,
laboratory_test_name,"70 Gene Signature (Mammaprint), Tissue",,200,True,
laboratory_test_name,"7alpha,25-dihydroxycholesterol, Serum",,200,True,
laboratory_test_name,"7alpha,27-dihydroxycholesterol, Serum",,200,True,
laboratory_test_name,"7alpha-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"7beta-hydroxycholesterol, Serum",,200,True,
laboratory_test_name,"Abnormal Lymphocytes, %, Blood",,200,True,
laboratory_test_name,"ABO Group, Rh Type, Blood",,200,True,
laboratory_test_name,Absolute Granulocyte,,200,True,
laboratory_test_name,"Absolute Neutrophil Count (ANC), Blood",,200,True,
laboratory_test_name,"Acetylcholine Receptor (AChR) Ab, Blood",,200,True,
laboratory_test_name,"Acid Phosphatase (ACP), Serum",,200,True,
laboratory_test_name,Activated Partial Thromboplastin Time (APTT),,200,True,
laboratory_test_name,"Adenovirus Antibody, Serum",,200,True,
laboratory_test_name,"Adenovirus, PCR, Quantitative, Blood",,200,True,
laboratory_test_name,"Adiponectin, Serum",,200,True,
laboratory_test_name,"Adrenocorticotropin, Serum",,200,True,
laboratory_test_name,"Alanine Aminotransferase (ALT or SGPT), Serum",,200,True,
laboratory_test_name,Alb/Glob ratio,,200,True,
laboratory_test_name,"Albumin, %, Electrophoresis, Random Urine",,200,True,
laboratory_test_name,"Albumin, Electrophoresis, Timed Urine",,200,True,
laboratory_test_name,"Albumin, Serum",,200,True,
laboratory_test_name,"Albumin-Creatinine Ratio, Urine",,200,True,
laboratory_test_name,"Aldolase, Serum",,200,True,
laboratory_test_name,"Aldosterone, Serum",,200,True,
laboratory_test_name,"Alkaline Phosphatase, Bone, Serum",,200,True,
laboratory_test_name,"Alkaline Phosphatase, Serum",,200,True,
laboratory_test_name,"Alpha 1 Globulin, %, 24 hour, Urine",,200,True,
laboratory_test_name,"Alpha 1 Globulin, Electrophoresis, Random Urine",,200,True,
laboratory_test_name,"Alpha 1 Globulin, Electrophoresis, Timed Urine",,200,True,
laboratory_test_name,"Alpha 1 Globulin, Protein Electrophoresis, Serum",,200,True,
laboratory_test_name,"Alpha 2 Globulin, %, 24 hour, Urine",,200,True,
laboratory_test_name,"Alpha 2 Globulin, Electrophoresis, Random Urine",,200,True,
laboratory_test_name,"Alpha 2 Globulin, Electrophoresis, Timed Urine",,200,True,
laboratory_test_name,"Alpha 2 Globulin, Protein Electrophoresis, Serum",,200,True,
laboratory_test_name,"Alpha-1 Fetoprotein, Serum",,200,True,
laboratory_test_name,"Aluminum, Plasma",,200,True,
laboratory_test_name,"Ammonia, Serum",,200,True,
laboratory_test_name,"Amylase, Serum",,200,True,
laboratory_test_name,"Anaplastic Lymphoma Kinase (ALK) Gene Arrangement, Tissue",,200,True,
laboratory_test_name,"Androstenedione, Serum",,200,True,
laboratory_test_name,"Anion Gap, Serum",,200,True,
laboratory_test_name,Anti-DsDNA,,200,True,
laboratory_test_name,"Anti-Hbe Antibody, Serum",,200,True,
laboratory_test_name,"Anti-HCV Antibody, Serum",,200,True,
laboratory_test_name,"Anti-Interleukin 15 Antibody, Serum",,200,True,
laboratory_test_name,"Anti-Pneumococcal Antibody Serotype 1 (1) Post-Vaccination, Serum",,200,True,
laboratory_test_name,"Anti-Pneumococcal Antibody Serotype 1 (1) Pre-Vaccination, Serum",,200,True,
