prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
laboratory_test_name,"CD3/CD25 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD25 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD30 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD30 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD4-/CD8-, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD4-/CD8-, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD8/CD28 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD8/CD28, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD8/CD57 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/CD8/CD57, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/HLA-DR, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD3/HLA-DR, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD38 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4 Cells to CD3 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4 Cells to CD3 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4 Cells to CD8 Cells Ratio, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4 Cells, %, Flow Cytometry, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4+/CD25+ bright (T regs) Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4+/CD25+ bright (T regs) Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4+/CD25+/Foxp3+, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/7G7 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/7G7 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25 PE Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25 PE Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25/CD62L Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25/CD62L Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25/CD69 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD25/CD69 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD30 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD30 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RA+CD45RO, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RA+CD45RO, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RO, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD45RO, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L-/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L-/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/CD62L/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/HLA-DR, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD4/HLA-DR, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD45 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD5 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD52 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7 Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7-/CD25 PE Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7-/CD25 PE Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7/CD25 PE Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD7/CD25 PE Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8 Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8 Cells, %, Flow Cytometry, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD25 PE, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD25 PE, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD25, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD25, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD3, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD3, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RA+CD45RO, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RA+CD45RO, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RO, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD45RO, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD57, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD57, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L-/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L-/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L/CD45RA, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/CD62L/CD45RA, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/HLA-DR, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8/HLA-DR, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8beta+/CD69+ Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CD8beta+/CD69+ Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cell Count, Cerebrospinal Fluid",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cellularity, %, Bone Marrow",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Centromere, Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CH50 Complement, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chloride, 24 hour, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chloride, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cholestanol, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cholesterol Sulfate, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cholesterol to High Density Lipids (HDL), Ratio, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cholesterol, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cholesterol, Total, Fasting, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromogranin A, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromogranin A, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromosome 17 Expression, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromosome 3 Expression, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromosome 7 Expression, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromosome 9p21 Expression, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Chromosome hematologic, Bone Marrow",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Clean Catch Culture, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Clostridium tetani toxoid Antibody, IgG, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Clot Retraction, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Clotting Time, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CMV PCR Quantitative Log 10, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CO2 (Carbon Dioxide), Exhaled Gas",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CO2, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Coarse Granular Casts, Spot Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Color, Cerebrospinal Fluid",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Color, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Complement, C3, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Complement, C4, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Copper, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Copper, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Corticosterone, Mass Spectrometry, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol 1, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol 2, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol 3, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol, 24 hour, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cortisol, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatine Kinase (CK), Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatine Phosphokinase (CPK), Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine Clearance (CrCl), Cockcroft-Gault, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine Clearance, 24 hour, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine, Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Creatinine, Spot or Timed Sample, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Crystrals, Spot Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Culture, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Culture, Cerebrospinal Fluid",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Culture, Respiratory Virus, Nasopharynx",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Culture, Sputum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Culture, Stool",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"CXCL9, Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cyclic Citrullinated Peptide (CCP), Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cyclosporine, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cystatin C, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytokeratin Fragments 21-1, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus (CMV) Antibody, IgG, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus (CMV) Antibody, IgM, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus (CMV) Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus (CMV) Antigenemia, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus (CMV), Polymerase Chain Reaction (PCR), Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus, DNA, Polymerase Chain Reaction, Cerebrospinal Fluid",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus, DNA, Polymerase Chain Reaction, Throat",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Cytomegalovirus, DNA, Polymerase Chain Reaction, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"D-dimer, Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dako EGFR Pharmdx Immunohistochemical Labeling, Tissue",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dehydroepiandrosterone (DHEA), Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dehydroepiandrosterone, Sulfate, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Denosumab, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"DIFFERENTIAL Neutrophils, %",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffuse Cytoplasmic Anti-Neutrophil Cytoplasmic Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusing Capacity % Predicted, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusing Capacity to Alveolar Ventilation Ratio %, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusing Capacity to Alveolar Ventilation Ratio, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusion Capacity Carbon Monoxide (DL) Adjusted, % Predicted, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusion Capacity Carbon Monoxide (DL) Adjusted, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diffusion Capacity, Respiratory System",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dihydrotestosterone, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Diphtheriae Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,Diptheria vaccine titer,,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Direct Antiglobulin Test (Coombs), Red Blood Cells",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"DNA-TCR B Chain, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dopamine, 24 hour, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Dopamine, Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Double Negative T (DNT) Cells, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Double Negative T (DNT) Cells, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Double Strand DNA (DSDNA) Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"EBV PCR Quantitative Log 10, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"EGFR vXXI Immunohistochemical Labeling, Tissue",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Endoxifen, Serum/Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Endoxifen, Tissue",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Eosinophilic Myelocytes, %, Bone Marrow",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Eosinophils, #, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Eosinophils, %, Blood",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epidermal Growth Factor Receptor (EGFR) Mutation, Tissue",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epinephrine, 24 hour, Urine",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epinephrine, Plasma",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epstein Barr Virus (EBV) Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epstein Barr Virus (EBV) Nuclear Antibody, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
laboratory_test_name,"Epstein Barr Virus (EBV), Heterophile, IgM, Serum",,The name of the lab test or examination used to obtain the measurement or finding.,CCDI-DCC,1.0.0,laboratory_test
