prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
chromosome,Not Reported,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Unknown,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 1,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 10,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 11,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 12,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 13,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 14,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 15,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 16,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 17,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 18,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 19,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 2,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 20,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 21,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 22,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 23,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 3,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
