prop_handle,description,enum_count,enum_values
laterality,Designates the side of the body where disease is found.,8,Bilateral|Left|Midline|Not Applicable|Not Reported|Not Specified|Right|Unknown
fixation_embedding_method,Text term that represents the method used to maintain the sample or biospecimen in a viable state.,20,-80 degrees C|Cytospin Slide|Cryopreservation in dry ice (dead tissue)|Cryopreservation in liquid nitrogen (dead tissue)|Cryopreservation of live cells in liquid nitrogen|Cryopreserved|Formalin fixed - buffered|Formalin fixed - unbuffered|Formalin fixed paraffin embedded (FFPE)|Fresh|Fresh dissociated|Fresh dissociated and single cell sorted|Fresh dissociated and single cell sorted into plates|Frozen|Liquid nitrogen|Not Reported|OCT|Other|Snap frozen|Unknown
staining_method,The name of the dye or other coloring material used in microscopy to make biological sample structures visible.,6,H&E|IHC|In situ hybridization|mIHC|Wright-Giemsa|Other
deidentification_method,The type of procedure used to remove text elements that would make data individually identifiable in an electronic record.,4,manual|semiautomatic|automatic|Not applicable
medical_history_category,"A high level grouping of any injuries, disabilities, syndromes, or symptoms present in an individual's background.",7,Autoimmune Disease|Cancer|Congenital Anomaly|Structural Birth Defect|Genetic Syndrome|Not Reported|Unknown
alcohol_history,Has the participant consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime?,4,Yes|No|Unknown|Not Reported
alcohol_intensity,Category to describe the patient's current level of alcohol use as self-reported by the patient.,7,Drinker|Heavy Drinker|Lifelong Non-Drinker|Non-Drinker|Occasional Drinker|Unknown|Not Reported
asbestos_exposure,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",4,Yes|No|Unknown|Not Reported
coal_dust_exposure,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",4,Yes|No|Unknown|Not Reported
environmental_tobacco_smoke_exposure,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",4,Yes|No|Unknown|Not Reported
radon_exposure,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",4,Yes|No|Unknown|Not Reported
respirable_crystalline_silica_exposure,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",4,Yes|No|Unknown|Not Reported
smoking_frequency,The number of occurrences of smoking over a time period.,4,Every day|Some days|Not Reported|Unknown
time_between_waking_and_first_smoke,Text that describes the time elapsed between waking and smoking a cigarette.,6,Within 5 Minutes|6-30 Minutes|31-60 Minutes|After 60 Minutes|Not Reported|Unknown
tobacco_smoking_status,A category which describes an individual's history of smoking tobacco.,8,"1 (Lifelong Non-Smoker)|2 (Current Smoker)|3 (Current Reformed Smoker for > 15 yrs)|4 (Current Reformed Smoker for < or = 15 yrs)|5 (Current Reformed Smoker, Duration Not Specified)|7 (Smoking history not documented)|Unknown|Not Reported"
last_known_survival_status,Participant vital status,5,Alive|Dead|Not reported|Unknown|Unspecified
first_event,Identify the nature of the event that best characterizes the endpoint of the study.,7,Progression|Relapse|Second Malignant Neoplasm|Death|Not Reported|Not Applicable|Unknown
event_free_survival_status,Identify the nature of the event that best characterizes the endpoint of the study.,4,Censored|Not Censored|Not Reported|Unknown
follow_up_category,A text term based on grouping information about the health status of an individual after a study has officially closed,4,adverse_event|comorbidity|risk_factor|other
cause_of_death,A high level grouping of the circumstance or condition of greatest rank or importance that results in the death of a living being.,6,Due to non-study treatment|Due to other cause|Due to protocol treatment|Due to secondary primary cancer|Due to this disease|Unknown
laboratory_test_method,The text term used to describe the method used for molecular analysis.,21,"Comparative Genomic Hybridization|Cytogenetics, NOS|FISH|Flow Cytometry|IHC|ISH|Karyotype|Microarray|Microsatellite Analysis|Nuclear Staining|Other|RNA Sequencing|RT-PCR|Sequencing, NOS|Southern Blotting|Targeted Sequencing|WGS|WXS|Unknown|Not Reported|Not Applicable"
