prop_handle,enum_value,term_value,http_status,passed,notes
diagnosis,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1,200,True,
diagnosis,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged,200,True,
diagnosis,"B lymphoblastic leukemia/lymphoma, BCR-ABL1-like","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like",200,True,
diagnosis,"B lymphoblastic leukemia/lymphoma, NOS","B lymphoblastic leukemia/lymphoma, NOS",200,True,
diagnosis,"B-Cell Acute Lymphoblastic Leukemia, NOS","B-Cell Acute Lymphoblastic Leukemia, NOS",200,True,
diagnosis,Basal cell adenocarcinoma,Basal cell adenocarcinoma,200,True,
diagnosis,"Basal cell carcinoma, NOS","Basal cell carcinoma, NOS",200,True,
diagnosis,Benign cystic nephroma,Benign cystic nephroma,200,True,
diagnosis,"Blue nevus, malignant","Blue nevus, malignant",200,True,
diagnosis,Burkitt Lymphoma,Burkitt Lymphoma,200,True,
diagnosis,"Burkitt lymphoma, NOS","Burkitt lymphoma, NOS",200,True,
diagnosis,Calcifying nested stromal-epithelial tumor,Calcifying nested stromal-epithelial tumor,200,True,
diagnosis,Carcinoid tumor of uncertain malignant potential,Carcinoid tumor of uncertain malignant potential,200,True,
diagnosis,Carcinoma ex pleomorphic adenoma,Carcinoma ex pleomorphic adenoma,200,True,
diagnosis,"Carcinoma in situ, NOS","Carcinoma in situ, NOS",200,True,
diagnosis,"Carcinoma, diffuse type","Carcinoma, diffuse type",200,True,
diagnosis,"Carcinoma, metastatic, NOS","Carcinoma, metastatic, NOS",200,True,
diagnosis,"Carcinoma, NOS","Carcinoma, NOS",200,True,
diagnosis,"Carcinoma, undifferentiated, NOS","Carcinoma, undifferentiated, NOS",200,True,
diagnosis,Carcinomatosis,Carcinomatosis,200,True,
diagnosis,Carotid body paraganglioma,Carotid body paraganglioma,200,True,
diagnosis,Cavernous hemangioma,Cavernous hemangioma,200,True,
diagnosis,Central neurocytoma,Central neurocytoma,200,True,
diagnosis,"Central osteosarcoma, NOS","Central osteosarcoma, NOS",200,True,
diagnosis,Central primitive neuroectodermal tumor,Central primitive neuroectodermal tumor,200,True,
diagnosis,Cerebellar liponeurocytoma,Cerebellar liponeurocytoma,200,True,
diagnosis,Cholangiocarcinoma,Cholangiocarcinoma,200,True,
diagnosis,Chondroblastic osteosarcoma,Chondroblastic osteosarcoma,200,True,
diagnosis,Chondroid chordoma,Chondroid chordoma,200,True,
diagnosis,Chondromyxoid fibroma,Chondromyxoid fibroma,200,True,
diagnosis,Chondrosarcoma,Chondrosarcoma,200,True,
diagnosis,"Chondrosarcoma, NOS","Chondrosarcoma, NOS",200,True,
diagnosis,Chordoid glioma,Chordoid glioma,200,True,
diagnosis,Chordoma,Chordoma,200,True,
diagnosis,Chordoma (including poorly differentiated chordoma),Chordoma (including poorly differentiated chordoma),200,True,
diagnosis,"Chordoma, NOS","Chordoma, NOS",200,True,
diagnosis,Choriocarcinoma,Choriocarcinoma,200,True,
diagnosis,Choriocarcinoma combined with other germ cell elements,Choriocarcinoma combined with other germ cell elements,200,True,
diagnosis,"Choriocarcinoma, NOS","Choriocarcinoma, NOS",200,True,
diagnosis,Choroid plexus carcinoma,Choroid plexus carcinoma,200,True,
diagnosis,Choroid plexus papilloma,Choroid plexus papilloma,200,True,
diagnosis,"Choroid plexus papilloma, NOS","Choroid plexus papilloma, NOS",200,True,
diagnosis,Choroid Plexus tumors,Choroid Plexus tumors,200,True,
diagnosis,"Choroid plexus tumors, NOS or NEC","Choroid plexus tumors, NOS or NEC",200,True,
diagnosis,Chronic eosinophilic leukemia,Chronic eosinophilic leukemia,200,True,
diagnosis,"Chronic myelogenous leukemia, BCR/ABL positive","Chronic myelogenous leukemia, BCR/ABL positive",200,True,
diagnosis,"Chronic myeloid leukemia, NOS","Chronic myeloid leukemia, NOS",200,True,
diagnosis,CIC-rearranged sarcoma,CIC-rearranged sarcoma,200,True,
diagnosis,Clear cell adenoma,Clear cell adenoma,200,True,
diagnosis,"Clear cell adenocarcinoma, NOS","Clear cell adenocarcinoma, NOS",200,True,
diagnosis,Clear cell meningioma,Clear cell meningioma,200,True,
diagnosis,Clear cell sarcoma of kidney,Clear cell sarcoma of kidney,200,True,
diagnosis,"Clear cell sarcoma, NOS","Clear cell sarcoma, NOS",200,True,
diagnosis,CNS embryonal tumor,CNS embryonal tumor,200,True,
diagnosis,CNS embryonal tumor with rhabdoid features,CNS embryonal tumor with rhabdoid features,200,True,
diagnosis,"CNS embryonal tumor, NOS","CNS embryonal tumor, NOS",200,True,
diagnosis,"CNS embryonal tumor, NOS or NEC","CNS embryonal tumor, NOS or NEC",200,True,
diagnosis,CNS Germ Cell Tumors,CNS Germ Cell Tumors,200,True,
diagnosis,"CNS Germ Cell Tumors, NOS or NEC","CNS Germ Cell Tumors, NOS or NEC",200,True,
diagnosis,CNS Germinoma,CNS Germinoma,200,True,
diagnosis,"CNS neuroblastoma, FOXR2-activated","CNS neuroblastoma, FOXR2-activated",200,True,
diagnosis,CNS Non-Germinomatous Germ Cell Tumor,CNS Non-Germinomatous Germ Cell Tumor,200,True,
diagnosis,CNS Sarcoma,CNS Sarcoma,200,True,
diagnosis,"CNS Sarcoma, NOS or NEC","CNS Sarcoma, NOS or NEC",200,True,
diagnosis,CNS tumor with BCOR internal tandem duplication,CNS tumor with BCOR internal tandem duplication,200,True,
diagnosis,Composite Hodgkin and non-Hodgkin lymphoma,Composite Hodgkin and non-Hodgkin lymphoma,200,True,
diagnosis,"Congenital melanocytic nevus, NOS","Congenital melanocytic nevus, NOS",200,True,
diagnosis,Craniopharyngioma,Craniopharyngioma,200,True,
diagnosis,"Craniopharyngioma, adamantinomatous","Craniopharyngioma, adamantinomatous",200,True,
diagnosis,"Craniopharyngioma, NOS","Craniopharyngioma, NOS",200,True,
diagnosis,"Craniopharyngioma, NOS or NEC","Craniopharyngioma, NOS or NEC",200,True,
diagnosis,"Cribriform carcinoma, NOS","Cribriform carcinoma, NOS",200,True,
diagnosis,Cribriform neuroepithelial tumor,Cribriform neuroepithelial tumor,200,True,
diagnosis,"Cutaneous T-cell lymphoma, NOS","Cutaneous T-cell lymphoma, NOS",200,True,
diagnosis,Dedifferentiated liposarcoma,Dedifferentiated liposarcoma,200,True,
diagnosis,"Dermatofibrosarcoma protuberans, fibrosarcomatous","Dermatofibrosarcoma protuberans, fibrosarcomatous",200,True,
diagnosis,"Dermatofibrosarcoma protuberans, NOS","Dermatofibrosarcoma protuberans, NOS",200,True,
diagnosis,"Dermoid cyst, NOS","Dermoid cyst, NOS",200,True,
diagnosis,Desmoplastic fibroma,Desmoplastic fibroma,200,True,
diagnosis,Desmoplastic infantile astrocytoma,Desmoplastic infantile astrocytoma,200,True,
diagnosis,Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma,Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma,200,True,
diagnosis,"Desmoplastic melanoma, NOS","Desmoplastic melanoma, NOS",200,True,
diagnosis,"Desmoplastic myxoid tumor of the pineal region, SMARCB1-mutant","Desmoplastic myxoid tumor of the pineal region, SMARCB1-mutant",200,True,
diagnosis,Desmoplastic nodular medulloblastoma,Desmoplastic nodular medulloblastoma,200,True,
diagnosis,Desmoplastic small round cell tumor,Desmoplastic small round cell tumor,200,True,
diagnosis,"Diffuse astrocytoma, MYB- or MYBL1-altered","Diffuse astrocytoma, MYB- or MYBL1-altered",200,True,
diagnosis,Diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters,Diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters,200,True,
diagnosis,"Diffuse hemispheric glioma, H3 G34-mutant","Diffuse hemispheric glioma, H3 G34-mutant",200,True,
diagnosis,"Diffuse large B-cell lymphoma, NOS","Diffuse large B-cell lymphoma, NOS",200,True,
diagnosis,Diffuse leptomeningeal glioneuronal tumor,Diffuse leptomeningeal glioneuronal tumor,200,True,
diagnosis,"Diffuse low-grade glioma, MAPK pathway-altered","Diffuse low-grade glioma, MAPK pathway-altered",200,True,
diagnosis,"Diffuse midline glioma, H3 K27-altered","Diffuse midline glioma, H3 K27-altered",200,True,
diagnosis,"Diffuse midline glioma, H3 K27M-mutant","Diffuse midline glioma, H3 K27M-mutant",200,True,
